Gender,Height,Weight,BMI
1,174,96,31.70828379
1,189,87,24.35542118
0,185,110,32.14024836
0,195,104,27.35042735
1,149,61,27.47623981
1,189,104,29.11452647
1,147,92,42.57485307
1,154,111,46.80384551
1,174,90,29.72651605
0,169,103,36.06316305
1,195,81,21.30177515
0,159,80,31.64431787
0,192,101,27.39800347
1,155,51,21.22788762
1,191,79,21.65510814
0,153,107,45.70891537
0,157,110,44.62655686
1,140,129,65.81632653
1,144,145,69.92669753
1,172,139,46.98485668
1,157,110,44.62655686
0,153,149,63.65073262
0,169,97,33.96239627
1,185,139,40.61358656
0,172,67,22.64737696
0,151,64,28.06894434
1,190,95,26.31578947
1,187,62,17.72998942
0,163,159,59.84417931
1,179,152,47.4392185
1,153,121,51.68952112
1,178,52,16.41206918
0,195,65,17.09401709
0,160,131,51.171875
0,157,153,62.07148363
0,189,132,36.95305283
0,197,114,29.3746296
1,144,80,38.58024691
0,171,152,51.98180637
0,185,81,23.66691015
0,175,120,39.18367347
0,149,108,48.64645737
1,157,56,22.7189744
1,161,118,45.52293507
0,182,126,38.03888419
1,185,76,22.20598977
0,188,122,34.51788139
1,181,111,33.88174964
1,161,72,27.77670615
1,140,152,77.55102041
0,168,135,47.83163265
0,176,54,17.43285124
1,163,110,41.40163348
1,172,105,35.49215792
1,196,116,30.19575177
0,187,89,25.45111384
1,172,92,31.09789075
1,178,127,40.08332281
0,164,70,26.0261749
1,143,88,43.03388919
0,191,54,14.80222582
0,141,143,71.92797143
1,193,54,14.49703348
1,190,83,22.99168975
1,175,135,44.08163265
0,179,158,49.31181923
0,172,96,32.44997296
0,168,59,20.90419501
0,164,82,30.48780488
0,194,136,36.13561484
0,153,51,21.78649237
1,178,117,36.92715566
1,141,80,40.23942458
1,180,75,23.14814815
0,185,100,29.2184076
0,197,154,39.68151717
1,165,104,38.20018365
0,168,90,31.8877551
0,176,122,39.38533058
1,181,51,15.56729038
1,164,75,27.88518739
0,166,140,50.80563217
0,190,105,29.08587258
1,186,118,34.10798936
1,168,123,43.57993197
1,198,50,12.75380063
0,175,141,46.04081633
1,145,117,55.64803805
0,159,104,41.13761323
0,185,140,40.90577064
0,178,154,48.60497412
0,183,96,28.66612918
0,194,111,29.49303858
1,177,61,19.47077787
1,197,119,30.66299054
0,170,156,53.97923875
1,142,69,34.21940091
1,160,139,54.296875
1,195,69,18.14595661
0,190,50,13.85041551
1,199,156,39.39294462
1,154,105,44.27390791
1,161,155,59.79707573
0,198,145,36.98602183
0,192,140,37.97743056
1,195,126,33.13609467
1,166,160,58.06357962
1,159,154,60.91531189
0,181,106,32.3555447
1,149,66,29.72839061
0,150,70,31.11111111
0,146,157,73.65359354
1,190,135,37.39612188
0,192,90,24.4140625
0,177,96,30.64253567
1,148,60,27.39225712
0,165,57,20.93663912
0,146,104,48.78964158
1,144,108,52.08333333
0,176,156,50.36157025
0,168,87,30.82482993
1,187,122,34.8880437
1,187,138,39.46352484
0,184,160,47.25897921
0,158,149,59.68594776
1,158,96,38.45537574
1,194,115,30.55585078
0,145,79,37.57431629
1,182,151,45.58628185
1,154,54,22.76943835
0,168,139,49.24886621
0,187,70,20.01772999
0,158,153,61.28825509
0,167,110,39.44207394
0,171,155,53.00776307
0,183,150,44.79082684
0,190,156,43.2132964
1,194,108,28.69592943
1,171,147,50.27187853
1,159,124,49.04869269
0,169,54,18.90690102
0,167,85,30.47796622
1,180,149,45.98765432
1,163,123,46.2945538
1,140,79,40.30612245
1,197,125,32.20902368
1,194,106,28.16452333
0,140,146,74.48979592
1,195,98,25.77251808
0,168,115,40.74546485
0,196,50,13.01541025
1,140,52,26.53061224
0,150,60,26.66666667
0,168,140,49.6031746
0,155,111,46.20187305
0,179,103,32.14631254
0,182,84,25.35925613
1,168,160,56.6893424
0,187,102,29.16869227
1,181,105,32.05030371
1,199,99,24.9993687
0,184,76,22.44801512
1,192,101,27.39800347
0,182,143,43.1711146
0,172,111,37.52028123
1,181,78,23.80879705
1,176,109,35.18853306
0,156,106,43.55687048
0,151,67,29.38467611
0,188,80,22.63467632
1,187,136,38.89158969
1,174,138,45.58065795
1,167,151,54.14321058
0,196,131,34.10037484
1,197,149,38.39315623
0,185,119,34.76990504
0,170,102,35.29411765
0,181,94,28.69265285
0,166,126,45.72506895
1,188,100,28.29334541
0,162,74,28.1969212
1,177,117,37.34559035
1,162,97,36.96082914
1,180,73,22.5308642
0,192,108,29.296875
1,165,80,29.38475666
0,167,135,48.40618165
0,182,84,25.35925613
0,161,134,51.69553644
1,158,95,38.05479891
1,141,85,42.75438861
1,154,100,42.16562658
1,165,105,38.56749311
0,142,137,67.94286848
1,141,94,47.28132388
1,145,108,51.36741974
1,157,74,30.02150189
0,177,117,37.34559035
0,166,144,52.25722166
1,193,151,40.53800102
1,184,57,16.83601134
1,179,93,29.02531132
0,156,89,36.57133465
1,182,104,31.39717425
1,145,160,76.09988109
0,150,87,38.66666667
1,145,99,47.08680143
0,196,122,31.757601
1,191,96,26.31506812
0,148,67,30.58802045
0,150,84,37.33333333
1,148,155,70.7633309
0,153,146,62.36917425
0,196,159,41.38900458
0,185,52,15.19357195
0,171,131,44.80010944
0,143,118,57.70453323
0,142,86,42.6502678
0,141,126,63.37709371
1,159,109,43.11538309
0,173,82,27.39817568
1,183,138,41.20756069
0,152,90,38.95429363
1,178,140,44.18634011
1,188,54,15.27840652
0,155,144,59.93756504
1,166,70,25.40281608
1,188,123,34.80081485
0,171,120,41.03826819
1,179,130,40.57301582
0,186,137,39.59995375
0,153,78,33.32051775
0,184,86,25.40170132
0,177,81,25.85463947
1,145,78,37.09869203
1,170,81,28.02768166
1,181,141,43.03897927
1,165,155,56.93296602
0,174,65,21.46915048
0,146,110,51.6044286
1,178,85,26.82742078
1,166,61,22.13673973
1,191,62,16.99514816
0,177,155,49.47492738
0,183,50,14.93027561
1,151,114,49.99780711
1,182,98,29.58579882
0,142,159,78.8534021
0,188,90,25.46401086
1,161,89,34.3350951
1,153,70,29.90302875
1,140,143,72.95918367
1,169,141,49.36801933
0,162,159,60.58527663
1,183,147,43.8950103
0,162,58,22.10028959
0,172,109,36.84424013
0,150,119,52.88888889
0,169,145,50.76853051
0,184,132,38.98865784
1,159,104,41.13761323
1,163,131,49.30558169
1,156,137,56.29520053
0,157,52,21.09619051
1,147,84,38.87269193
1,141,86,43.25738142
1,173,139,46.44324902
1,154,145,61.14015854
1,168,148,52.43764172
1,168,50,17.7154195
1,145,130,61.83115339
1,152,103,44.58102493
0,187,121,34.60207612
0,163,57,21.45357371
1,178,83,26.19618735
0,187,94,26.8809517
0,179,114,35.57941388
1,190,80,22.16066482
1,172,75,25.35154137
1,188,57,16.12720688
1,193,65,17.45013289
0,147,126,58.3090379
0,147,94,43.50039335
1,166,107,38.83001887
0,192,139,37.70616319
1,181,139,42.4284973
1,150,74,32.88888889
1,178,160,50.49867441
0,156,52,21.36752137
1,149,100,45.04301608
1,156,74,30.40762656
1,183,105,31.35357879
0,162,68,25.91068435
0,165,83,30.48668503
0,168,143,50.66609977
1,160,156,60.9375
0,169,88,30.8112461
0,140,76,38.7755102
0,187,92,26.30901656
1,151,82,35.96333494
0,186,140,40.46710602
1,182,108,32.60475788
1,188,81,22.91760978
1,179,110,34.33101339
0,156,126,51.77514793
1,188,114,32.25441376
1,183,153,45.68664338
1,144,88,42.4382716
1,196,69,17.96126614
1,171,141,48.21996512
1,171,147,50.27187853
0,180,156,48.14814815
1,191,146,40.02083276
0,179,67,20.91070816
0,180,60,18.51851852
0,154,132,55.65862709
1,188,99,28.01041195
1,142,135,66.95100179
1,170,95,32.87197232
1,152,141,61.02839335
0,190,118,32.68698061
0,181,111,33.88174964
1,153,104,44.427357
1,187,140,40.03545998
0,144,66,31.8287037
0,148,54,24.65303141
0,199,92,23.23173657
0,167,85,30.47796622
0,164,71,26.39797739
0,185,102,29.80277575
0,164,160,59.48839976
1,142,71,35.21126761
1,165,68,24.97704316
0,172,62,20.9572742
0,157,56,22.7189744
1,155,57,23.72528616
0,167,153,54.8603392
0,164,126,46.84711481
0,189,125,34.99342124
0,161,145,55.93919988
0,155,71,29.55254943
0,171,118,40.35429705
0,154,92,38.79237645
1,179,83,25.9043101
1,170,115,39.79238754
0,184,106,31.30907372
0,191,68,18.63983992
1,162,58,22.10028959
1,178,138,43.55510668
0,157,60,24.34175829
1,184,83,24.51559546
1,197,88,22.67515267
0,160,51,19.921875
1,184,153,45.19139887
1,190,50,13.85041551
1,174,90,29.72651605
0,189,124,34.71347387
0,186,143,41.3342583
0,180,58,17.90123457
0,186,148,42.77951208
0,193,61,16.37627856
1,161,103,39.73612129
0,151,158,69.29520635
0,195,147,38.65877712
0,184,152,44.89603025
1,141,80,40.23942458
0,185,94,27.46530314
0,186,127,36.70944618
1,142,131,64.9672684
0,147,67,31.00559952
1,151,62,27.19178983
0,160,124,48.4375
1,185,60,17.53104456
0,163,63,23.71184463
1,174,95,31.37798917
0,150,144,64
1,142,91,45.12993454
1,178,142,44.81757354
0,154,96,40.47900152
1,176,87,28.08626033
1,159,120,47.4664768
1,191,62,16.99514816
1,177,117,37.34559035
1,151,154,67.54089733
0,182,149,44.98249004
0,197,72,18.55239764
1,146,138,64.74010133
0,160,83,32.421875
0,157,66,26.77593411
0,150,50,22.22222222
0,167,58,20.79672989
0,180,70,21.60493827
0,183,76,22.69401893
0,183,87,25.97867957
0,152,154,66.65512465
0,164,71,26.39797739
1,187,96,27.45288684
1,169,136,47.61738034
0,149,61,27.47623981
1,163,137,51.56385261
0,195,104,27.35042735
1,174,107,35.34152464
1,182,70,21.13271344
1,169,110,38.51405763
1,193,130,34.90026578
1,148,141,64.37180424
1,186,68,19.6554515
1,165,143,52.52525253
0,146,123,57.7031338
0,166,133,48.26535056
1,179,56,17.47760682
0,177,101,32.23850107
1,181,154,47.00711212
0,161,154,59.41128814
0,157,103,41.78668506
0,169,98,34.31252407
0,152,114,49.34210526
0,162,64,24.38652644
1,162,130,49.53513184
0,177,61,19.47077787
0,195,61,16.04207758
1,140,146,74.48979592
0,186,146,42.20141057
0,178,107,33.77098851
1,174,54,17.83590963
0,180,59,18.20987654
1,188,141,39.89361702
0,187,130,37.17578427
0,153,77,32.89333162
0,165,95,34.89439853
0,178,79,24.93372049
0,163,154,57.96228688
0,150,97,43.11111111
1,179,127,39.63671546
1,165,62,22.77318641
1,168,158,55.98072562
0,153,133,56.81575462
1,184,157,46.37287335
1,188,65,18.39067451
0,166,153,55.52329801
0,172,116,39.21038399
1,182,73,22.03840116
1,143,149,72.86419874
1,152,146,63.19252078
0,186,128,36.99849694
1,159,140,55.37755627
1,146,70,32.83918184
0,176,121,39.0625
0,146,101,47.38224808
1,159,145,57.35532613
1,162,157,59.82319768
0,172,90,30.42184965
0,169,121,42.36546339
1,182,50,15.09479531
0,183,79,23.58983547
1,176,77,24.85795455
0,188,128,36.21548212
0,175,83,27.10204082
1,154,81,34.15415753
0,184,147,43.41918715
1,179,123,38.38831497
1,152,132,57.13296399
1,179,56,17.47760682
0,145,141,67.06302021
0,181,80,24.41927902
1,158,127,50.87325749
0,188,99,28.01041195
1,145,142,67.53864447
1,161,115,44.36557232
1,198,109,27.80328538
1,147,142,65.71336017
1,154,112,47.22550177
0,178,65,20.51508648
1,195,153,40.23668639
0,167,79,28.32658037
1,183,131,39.11732211
0,164,142,52.79595479
1,167,64,22.94811574
0,151,55,24.12174905
0,147,107,49.5164052
0,155,115,47.86680541
0,172,108,36.50621958
0,142,86,42.6502678
1,146,85,39.87614937
0,188,115,32.53734722
1,173,111,37.0877744
0,160,109,42.578125
1,187,80,22.8774057
1,198,136,34.69033772
0,179,150,46.81501826
0,164,59,21.93634741
0,146,147,68.96228185
0,198,50,12.75380063
0,170,53,18.33910035
1,152,98,42.41689751
0,150,153,68
0,184,121,35.73960302
0,141,136,68.40702178
1,150,95,42.22222222
1,173,131,43.77025627
